Waf: Entering directory `/Users/sangheon/Desktop/ns-3-dev/build'
[1934/1986] Compiling scratch/dumbbell.cc
[1948/1986] Linking build/scratch/dumbbell
Waf: Leaving directory `/Users/sangheon/Desktop/ns-3-dev/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.889s)
flow1  12.9s: 	22.7693 Mbit/s
flow2  12.9s: 	22.7264 Mbit/s
flow3  12.9s: 	22.6406 Mbit/s
flow0  13s: 	22.7693 Mbit/s
flow1  13s: 	22.6835 Mbit/s
flow2  13s: 	22.6406 Mbit/s
flow3  13s: 	22.7693 Mbit/s
flow0  13.1s: 	22.6406 Mbit/s
flow1  13.1s: 	22.7264 Mbit/s
flow2  13.1s: 	22.7693 Mbit/s
flow3  13.1s: 	22.6835 Mbit/s
flow0  13.2s: 	22.7693 Mbit/s
flow1  13.2s: 	22.7264 Mbit/s
flow2  13.2s: 	22.6406 Mbit/s
flow3  13.2s: 	22.7264 Mbit/s
flow0  13.3s: 	22.7264 Mbit/s
flow1  13.3s: 	22.6406 Mbit/s
flow2  13.3s: 	22.7693 Mbit/s
flow3  13.3s: 	22.7264 Mbit/s
flow0  13.4s: 	22.6406 Mbit/s
flow1  13.4s: 	22.7693 Mbit/s
flow2  13.4s: 	22.7264 Mbit/s
flow3  13.4s: 	22.6835 Mbit/s
flow0  13.5s: 	22.7693 Mbit/s
flow1  13.5s: 	22.7264 Mbit/s
flow2  13.5s: 	22.6406 Mbit/s
flow3  13.5s: 	22.7264 Mbit/s
flow0  13.6s: 	22.3405 Mbit/s
flow1  13.6s: 	22.7693 Mbit/s
flow2  13.6s: 	22.8979 Mbit/s
flow3  13.6s: 	22.855 Mbit/s
flow0  13.7s: 	21.1398 Mbit/s
flow1  13.7s: 	23.2838 Mbit/s
flow2  13.7s: 	23.1981 Mbit/s
flow3  13.7s: 	23.1981 Mbit/s
flow0  13.8s: 	21.5258 Mbit/s
flow1  13.8s: 	23.1123 Mbit/s
flow2  13.8s: 	23.1552 Mbit/s
flow3  13.8s: 	23.0694 Mbit/s
flow0  13.9s: 	21.8259 Mbit/s
flow1  13.9s: 	22.9408 Mbit/s
flow2  13.9s: 	22.9837 Mbit/s
flow3  13.9s: 	23.0694 Mbit/s
flow0  14s: 	22.0403 Mbit/s
flow1  14s: 	22.9837 Mbit/s
flow2  14s: 	22.9408 Mbit/s
flow3  14s: 	22.8979 Mbit/s
